Company,Sentiment,Price,Date,Decision
AAPL,positive,22.299873440242987,2025-01-16T11:53:49Z,buy
AAPL,positive,22.299873440242987,2025-01-21T18:15:31Z,buy
AAPL,neutral,22.299873440242987,2025-01-08T20:55:32Z,hold
AAPL,positive,22.299873440242987,2025-01-22T07:17:36Z,buy
AAPL,neutral,22.299873440242987,2025-01-09T08:34:53Z,hold
AAPL,positive,22.299873440242987,2025-01-23T21:57:12Z,buy
AAPL,neutral,22.299873440242987,2025-01-30T03:01:41Z,hold
AAPL,neutral,22.299873440242987,2025-02-03T21:54:36Z,hold
AAPL,neutral,22.299873440242987,2025-02-07T00:06:45Z,hold
AAPL,neutral,22.299873440242987,2025-01-12T12:07:13Z,hold
AAPL,neutral,22.299873440242987,2025-01-16T21:56:42Z,hold
AAPL,positive,22.299873440242987,2025-02-06T08:15:54Z,buy
AAPL,neutral,22.299873440242987,2025-02-06T14:58:59Z,hold
AAPL,neutral,22.299873440242987,2025-01-16T12:09:05Z,hold
AAPL,neutral,22.299873440242987,2025-01-23T22:55:21Z,hold
AAPL,neutral,22.299873440242987,2025-01-27T22:17:33Z,hold
AAPL,neutral,22.299873440242987,2025-01-30T02:28:28Z,hold
AAPL,positive,22.299873440242987,2025-02-07T08:25:33Z,buy
AAPL,neutral,22.299873440242987,2025-01-09T07:52:58Z,hold
MSFT,positive,11.257133680917208,2025-01-22T06:00:00Z,buy
MSFT,positive,11.257133680917208,2025-01-19T00:00:28Z,buy
MSFT,negative,11.257133680917208,2025-02-03T10:32:58Z,sell
MSFT,positive,11.257133680917208,2025-02-05T22:35:00Z,buy
MSFT,negative,11.257133680917208,2025-02-07T17:41:21Z,sell
MSFT,positive,11.257133680917208,2025-01-16T13:34:41Z,buy
MSFT,negative,11.257133680917208,2025-01-27T16:28:53Z,sell
MSFT,negative,11.257133680917208,2025-01-28T19:49:00Z,sell
MSFT,negative,11.257133680917208,2025-01-27T10:00:00Z,sell
MSFT,positive,11.257133680917208,2025-01-15T21:20:00Z,buy
MSFT,negative,11.257133680917208,2025-01-29T21:19:00Z,sell
MSFT,positive,11.257133680917208,2025-01-27T18:53:00Z,buy
MSFT,positive,11.257133680917208,2025-01-29T13:16:00Z,buy
MSFT,negative,11.257133680917208,2025-01-27T10:00:00Z,sell
MSFT,neutral,11.257133680917208,2025-01-30T13:52:27Z,hold
MSFT,positive,11.257133680917208,2025-01-27T10:00:00Z,buy
MSFT,positive,11.257133680917208,2025-01-30T19:49:00Z,buy
MSFT,positive,11.257133680917208,2025-02-07T17:23:00Z,buy
MSFT,positive,11.257133680917208,2025-01-31T10:00:00Z,buy
MSFT,positive,11.257133680917208,2025-02-01T14:00:00Z,buy
MSFT,positive,11.257133680917208,2025-02-05T10:00:00Z,buy
MSFT,negative,11.257133680917208,2025-01-28T18:51:04Z,sell
MSFT,positive,11.257133680917208,2025-01-30T15:06:02Z,buy
MSFT,positive,11.257133680917208,2025-02-06T16:00:00Z,buy
MSFT,negative,11.257133680917208,2025-02-06T13:45:00Z,sell
MSFT,negative,11.257133680917208,2025-01-18T15:31:16Z,sell
MSFT,negative,11.257133680917208,2025-02-04T09:52:59Z,sell
MSFT,positive,11.257133680917208,2025-02-02T18:55:41Z,buy
MSFT,positive,11.257133680917208,2025-01-25T17:26:11Z,buy
MSFT,negative,11.257133680917208,2025-01-27T02:51:26Z,sell
MSFT,negative,11.257133680917208,2025-01-13T15:30:00Z,sell
MSFT,negative,11.257133680917208,2025-01-28T13:02:00Z,sell
MSFT,positive,11.257133680917208,2025-01-27T16:45:00Z,buy
MSFT,positive,11.257133680917208,2025-01-27T13:15:00Z,buy
MSFT,positive,11.257133680917208,2025-02-04T15:15:00Z,buy
MSFT,positive,11.257133680917208,2025-01-27T12:55:00Z,buy
MSFT,positive,11.257133680917208,2025-01-28T16:09:00Z,buy
MSFT,positive,11.257133680917208,2025-01-29T19:57:00Z,buy
MSFT,negative,11.257133680917208,2025-01-27T22:31:33Z,sell
